"ID";"Name";"LatinName";"Photo";"LandscapingZone";"ProsperityPeriod";"Description";"LocationPlace";"ViewForm";"global_id";
"19";"Ива мохнатая";"Salix lanata";"1a0d4d29-0d6d-420f-b7e6-49bfe25a0fbc";"Северный ландшафт";"Июнь - июль";"Приуроченная к суровым северным ландшафтам S. lanata весьма миниатюрна - это ветвистый кустарник до 2 м. Искать её, как и любую иву, следует, конечно же у воды, хотя иногда она появляется на каменистых склонах. Образ «мохнатости» создают опушенная с обеих сторон сизо-зеленая листовая пластинка и волосистые почки. Сережки ивы мохнатой крупные, также опушенные золотистыми волосками.";"Северный ландшафт";"Бесплатная";"881461696";
"20";"Ива сизая";"Salix glauca callicarpaea";"41a6aeed-1ad7-4c36-9a6a-9d7ddfba2e25";"Смешанный лес";"Апрель";"Ива сизая - типичное растение арктических пустынь, тундровой и горно-тундровой зон Евразии, Северной Америки, Гренландии. Климатические условия обуславливают компактный (0,2-1,5 м) кустарниковый габитус этого растения и преобладание стелющихся форм в естественных популяциях. Ива сизая типично приурочена к увлажненным понижениям. Листья до 7 см продолговатые, опушенные. Опушены и сережки сизоватыми волосками - откуда и название.";"Смешанный лес";"Бесплатная";"881461709";
"21";"Лещина обыкновенная";"Coryllus avellana";"c50f21f7-2c39-4419-83ae-d9aaa4096f44";"Смешанный лес";"Март";"Лещина обыкновенная - типичный для подлеска вид на территории Европейской России. Этот кустарник встречается в лесах, в том числе горных, и иногда образует сплошные заросли на месте сведённых лесов. Среди других кустарников лещину легко узнать по крупным листьям с неровным краем и вытянутым в остриё кончиком. Лещина обыкновенная достигает своей максимальной высоты к двадцатому году жизни, а её продолжительность жизни может достигать и 100 лет.";"Смешанный лес";"Бесплатная";"881461724";
"22";"Бересклет европейский";"Euonimus verrucosus";"81b1a33e-9684-45c5-81d0-d431f2f8ed83";"Смешанный лес";"Апрель - июнь";"Латинское название берекслета европейского переводится как «хорошее имя», «славный». Этот «славный» кустарник можно встретить в широколиственных лесах Европы. Отличить его в природе от других растений можно по вытянутым листьям, расположенным на ветках друг напротив друга и похожим по форме и размерам на лавровые. Отличительный признак бересклета европейского среди других видов этого рода - лёгкое опушение жилок с нижней стороны листа.";"Смешанный лес";"Бесплатная";"881461746";
"23";"Бузина красная";"Sambucus racemosa";"7684e0b7-98d8-405d-9d19-ce82738a7eea";"Смешанный лес";"Май - июнь
";"Узнать бузину красную во время прогулки довольно просто. Её листья состоят из нескольких (обычно пять, бывает и по семь) небольших листочков с пильчатым краем, которые сидят на одном черешке. Такие листья ботаники называют сложными, и у бузины они растут на ветвях друг напротив друга. В конце мая на бузине красной появяются кистевидные соцветия, которые к средине июля превращаются в гроздья красных плодов. От цвета плодов и происходит русское название кустарника.";"Смешанный лес";"Бесплатная";"881461808";
"24";"Роза собачья";"Rosa canina";"57d033ea-ca36-4221-bd1c-7cc9d07221b0";"Смешанный лес";"Май - июль
";"Естественный ареал розы собачьей охватывает Северную Африку, Средиземноморье, большую часть Западной Европы, а Московская область - северная граница её распространения. Отличить этот вид розы от других можно по стеблям, которые окрашены в зелёный с теневой стороны и в красный - с солнечной, а также по серповидно отогнутым вниз шипам. Цветки розы собачьей могут быть белыми, ярко-розовыми или любого промежуточного оттенка.";"Смешанный лес";"Бесплатная";"881461867";
"25";"Спирея дубравколистная";"Spiraea chamaedryfolia";"a780d6fd-3581-4a5e-af53-b82843401fe6";"Сосняк";"Июнь";"Спирея дубравколистная - небольшой кустарник, до двух метров высоту. Этот вид родом из Юго-Восточной Европы и горных лесов Азии, где его часто можно встретить близ ручьёв. Отличить спирею дубравколистную от других кустарников весьма просто: её небольшие нежные листья расположены очерёдно, и после каждого листа веточка немного «поворачивает», из-за чего выглядит как ломаная линия.";"Сосняк";"Бесплатная";"881461889";
"26";"Ива «Маяк II»";"Salix ledebouriana x S. purpurea hybrida Sukaszewii";"b13a8dda-6e05-4134-9d7f-d25587351955";"Прибрежный лес";"Апрель";"Ива «Маяк 2» получена от скрещивания ивы Ледебура и ивы пурпурной, и сочетает в себе признаки этих двух растений. Для селекционной ивы «Маяк-2» характерна округлая форма кроны и раскидистость, унаследованная от ивы Ледебура, и тонкие гибкие побеги розовато-пурпурного цвета - признак ивы пурпурной. По всей видимости, именно из-за яркости ветвей, особенно заметной в снежное время, ива зовется «маяком».";"Прибрежный лес";"Бесплатная";"881461984";
"27";"Ива пурпурная";"Salix purpurea";"07280736-7c02-4796-9fb3-03c59698fd13";"Прибрежный лес";"Март - май";"Ива пурпурная - тонковетвистый светолюбивый морозостойкий кустарник с округлой кроной, встречающийся во влажных понижениях центральной и южной европейской части России, на Кавказе, в Средней Азии. Гибкие ветви этой ивы часто пурпурного цвета до желто-коричневого, лимонные внутри. Эти перемены окраски побегов отражены в народных названиях - желтолоз и красностал.";"Прибрежный лес";"Бесплатная";"881464169";
"28";"Калина обыкновенная";"Viburnum opulus";"da765179-2fa5-49e2-b8de-083ce9728f8d";"Прибрежный лес, ельник";"Май - июнь";"Калина обыкновенная может выдерживать разные тяготы и невзгоды климата, поэтому её можно встретить в разных очень разных местах, начиная с Северной Африки и заканчивая Прибайкальем. Но особенно обычен этот вид калины средней полосе Европейской России. Отличить этот кустарник от других можно по серой растрескивающейся коре и растущим парами друг напротив друга листьям с зубчатым краем и тремя лопастями.";"Прибрежный лес, ельник";"Бесплатная";"881464181";
"29";"Барбарис обыкновенный";"Berberis vulgaris";"d5d8c8ca-7973-43f0-9ed3-47c95e79095b";"Сосняк";"Апрель - май";"Барбарис обыкновенный родом из Южной Европы и Передней Азии, широко распространён в лесостепной зоне России. Этот сильно ветвистый кустарник легко опознать среди других по красным ветвям, вооруженным колючими шипами, выходящими парами из-под основания черешка листа. Осенью он становится заметным издалека из-за фиолетовых листьев, среди которых висят гроздья небольших вытянутых красных плодов.";"Сосняк";"Бесплатная";"881464197";
"30";"Миндаль степной";"Amygdalis nana";"d26ebfe1-a707-4176-b278-6a185adba4e2";"Степь";"Апрель - май
";"Миндаль степной - это кустарниковое растение, принадлежащее к роду Сливовые. Близкими родственниками растения считаются абрикос, слива, алыча. В теплых климатических районах миндаль цветет с конца января до апреля. В средней полосе начинает цветение с конца апреля и украшает сад две недели. Розовые цветки растения обладают нежным ароматом, привлекающим медоносных пчел. В дикой природе произрастает в средней полосе Европы, Сибири и Азии. Предпочтительно в разнотравно-луговых степях, каменистых оврагах, балках, склонах.";"Степь";"Бесплатная";"881464215";
"31";"Вишня кустарниковая";"Cerassus fruticjsa";"6c911f0f-43de-4d5a-a7f3-622c54a07a9f";"Степь";"Май
";"Вишня степная очень похожа на широко известную родственницу, вишню гибридную, только сильно меньше. Она растёт как небольшой кустарник, максимальная высота которого не превышает двух метров, её листья и плоды чуть меньше привычных нам вишнёвых. В природе вишню степную можно встретить от Центральной Европы до Прибайкалья, преимущественно в степной и лесостепной зонах.";"Степь";"Бесплатная";"881464226";
"32";"Жимолость татарская";"Lonicera tatarica";"46850c2f-78f3-4d07-8150-6c812c08ffb1";"Степь";"Май - июнь";"Жимолость татарская выглядит как кустарник, который может вырастать высотой от одного до пяти метров в зависимости от освещения, увлажнения и свойств почвы. Сейчас это растение можно встретить в культуре на всех континентах, кроме Антарктиды, а в дикой природе - в степной и лесостепной зоне Евразии. Узнать его можно по плотным листьям яйцевидной форме, которые зачастую слегка вогнуты.";"Степь";"Бесплатная";"881464238";
"33";"Клён татарский";"Acer tataricum";"85020bbc-9975-46ca-b819-d90b3a8e3b19";"Степь";"Июнь";"Ареал клёна татарского охватывает Центральную и Восточную Европу, лесостепную и степную полосы России и тянется на восток до Восточной Сибири. Он может расти как крупный куст или даже небольшое деревцо. От других видов клёна от отличается формой листьев: их лопасти не так выражены, как у широко известного клёна остролистного, да и сильно меньше. Кроме того, жилки листа снабжены лёгким опушением с нижней стороны листа.";"Степь";"Бесплатная";"881464249";
"34";"Сирень обыкновенная";"Syringa vulgaris";"5794fb77-2020-4ea9-b086-71b62b6744ea";"Городские посадки";"Май";"Сирень обыкновенная - кустарник родом с Балкан, где в дикой природе растёт по горным склонам и вдоль рек и ручьёв. В СССР его стали активно культивировать вплоть от Смоленска до Дальнего Востока. Наверное, сирень не нуждается в подробном ботаническом описании, однако стоит отметить особенность роста её побегов. Если на конце ветви сирени заложилось больше одной почки, то большее развитие получит побег из боковой. Из-за этого ветви сирени выглядят зигзагооборазно или похожи на рогатки.";"Городские посадки";"Бесплатная";"881464266";
"35";"Роза морщинистая";"Rosa rugosa";"8e181313-1a54-43f7-92d2-b04fb4d0ddab";"Городские посадки";"Июнь - август";"Роза морщинистая родом с тихоокеанского побережья Евразии. В Европу её привезли путешественники ещё в XIX веке, после чего этот вид начали широко выращивать в культуре. От других видов роза морщинистая отличается тем, что помимо длинных шипов, её ветви сплошь покрыты колючками. А своё название этот вид получил из-за характерной особенности листьев: их жилки будто вдавлены в листовую пластинку, и лист выглядит сморщенным.";"Городские посадки";"Бесплатная";"881464281";
"36";"Спирея Бумальда";"Spiraea bumalda";"efc941ed-dd2c-4633-a657-31a892e6596b";"Городские посадки";"Июнь - июль";"Исследователи считают спирею Бумальда естественным гибридом японской и белоцветковой спирей, возникшим на пересечении ареала этих видов, на Дальнем Востоке. От других видов он отличается формой листьев, которые в контуре напоминают наконечник стрелы, покрытый зубчиками. Этот гибрид имеет как природные разновидности, так и множество культурных форм, отличающихся друг от друга по высоте, окрасу ветвей и цветков.";"Городские посадки";"Бесплатная";"881464294";
"37";"Спирея Вангутта";"Spiraea vanhouttei";"f03a6115-f950-43f5-892a-15f6fce684d5";"Городские посадки";"Июнь - июль";"Встретить спирею Вангутта в дикой природе невозможно, потому что этот вид существует только в культуре. От родственных видов её отличить довольно просто: спирея Вангутта во взрослом состоянии выглядит как пышный кустарник с шарообразной кроной и тонкими веточками с красновато-коричневой корой. В июне или начале июля этот куст покрывается густыми белыми щитковидными соцветиями, источающими лёгкий медовый аромат.";"Городские посадки";"Бесплатная";"881464306";
"38";"Лапчатка кустарниковая";"Potentilla fruticosa";"1dc4d450-1f2d-4f9e-911a-ea711ca24fea";"Городские посадки";"Июнь - август";"Лапчатка кустарниковая - распростёртый кустарничек, обычно высотой до метра, естественный ареал которого сильно разорван. Он встречается в Средней Азии и Восточной Сибири, на Дальнем Востоке и в Китае, а также есть мелкие популяции на Кавказе, в Европе и в Северной Америке. Отличить этот вид от других кустарничков можно по листьям: у лапчатки кустарниковой на одном черешке находится от 3 до 7 вытянутых листочков длиной 2-4 см.";"Городские посадки";"Бесплатная";"881464320";
"39";"Калужница болотная";"Caltha palustris";"bbd09220-e1ff-4681-99a9-d71e7176884c";"Северный ландшафт, влажная тундра";"Май - июнь";"Название калужницы болотной происходит от старорусского слова «калужа», что означает «болото». Действительно, этот вид растёт только около водоёмов со стоячей водой. Можно смело назвать калужницу болотную эмблемным растением влажных территорий. Она растёт в заболоченных лесах, близ ручьёв, озер, прудов, болот - везде, где влажно. Причем её ареал охватывает не только Евразию, но также захватывает и Северную Америку. Отличить калужницу от других растений можно по мясистым стеблям, сердцевидным тёмно-зеленым листьям с городчатым краем и жёлтым цветкам, похожим на лютик.";"Северный ландшафт, влажная тундра";"Бесплатная";"881464622";
"40";"Осока волосовидная";"Carex capillaris";"abd0e0cf-65eb-4a76-b096-59c57bee130e";"Северный ландшафт, влажная тундра";"Июль
";"Осоку волосовидную впервые описал отец современной ботаники Карл Линней по ботаническим сборам из Швеции. Учёные называют области распространения осоки волосовидной циркумарктическим ареалом. Это значит, что растение можно встретить во всех арктических областях: в Евразии (в том числе и на севере России), Гренландии и Северной Америке. От других видов осок, представленных в парке, осока волосовидная отличается тем, что мужские и женские колоски собраны в раздельные соцветия, причём тычиночные (мужские) обычно расположены вторыми от верхушки.";"Северный ландшафт, влажная тундра";"Бесплатная";"881464647";
"41";"Осока головчатая";"Carex capitata";"9bee6415-12f0-4f70-b977-8f92342d5345";"Северный ландшафт, влажная тундра";"Июль";"Ареал осоки головчатой необычайно широк: она растёт во всех арктических районах мира, а также встречается на архипелаге Огненная Земля, близкому к Антарктиде. Осока головчатая обладает циркумарктическим ареалом: её можно встретить в арктических районах Евразии, включая Россию, в Северной Америке и даже в Гренландии на не покрытых ледником частях. От других осок, высаженных в парке, этот вид отличается тем, что у него всего один колос, созревающий на верхушке побега. В верхней части колоса расположены мелкие тычиночные (мужские) колоски, а в нижней - пестичные (женские). Из-за этого колос выглядит как вытянутый перевёрнутый волчок.";"Северный ландшафт, влажная тундра";"Бесплатная";"881464669";
"42";"Осока дернистая";"Carex caespitosa";"b36548ca-97c8-473f-80c7-3dae45063337";"Северный ландшафт, влажная тундра";"Июль";"В пределах огромного ареала осоки дернистой, охватывающего большую часть Евразии, учёные выделяют две популяции, изолированные друг от друга горной цепью. Ареал осоки дернистой охватывает всю умеренную зону Евразии, начиная с атлантического побережья и заканчивая тихоокеанским. Отличить этот вид от других, представленных в парке, можно по колоскам. Мужские и женские цветки собраны в разные колоски, причём тычиночный (мужской) всегда один и расположен на верхушке побега. Другая отличительная черта осоки дернистой - её побеги у основания упакованы в обёртку из листовых пластинок кроваво-красного цвета.";"Северный ландшафт, влажная тундра";"Бесплатная";"881464683";
"43";"Ясколка альпийская";"Cerastium alpinum";"ba7086a7-8aa9-43e4-90ea-9e112c2222be";"Северный ландшафт";"Июнь";"Карл Линней назвал род ясколок от греческого слова «рог». Плоды ясколки альпийской имеют вытянутую форму и действительно напоминают козьи рога. Эволюционной родиной ясколки альпийской были арктические районы Евразии, но во время ледникового периода она мигрировала в высокогорные области. Сейчас это растение можно встретить на альпийских лугах в горах Евразии и Северной Америки. Узнать это небольшое растение можно по небольшим белым цветкам с пятью лепестками, которые рассечены примерно до середины.";"Северный ландшафт";"Бесплатная";"881464695";
"44";"Дриада восьмилепестная";"Dryas octopetala";"8059ead9-d22d-42bc-a8fa-8d2946d089b1";"Северный ландшафт, влажная тундра";"Июнь - июль";"Аркто-альпийское растение с необычайно крупным для его размеров цветком. Из-за своего вида, она стала национальным символом Исландии. С высоты человеческого роста может показаться, что дриада восьмилепестная - это маленькое травянистое растение, но на самом деле это кустарничек с длинными стелющимися ветвями. Это растение можно встретить в высокогорьях Евразии и Северной Америке, а также во всех арктических регионах, включая Гренландию. Узнать дриаду можно по белым цветка с 8 или 16 лепестками, похожими на вишневые, и маленьким листьям, похожим на пёрышки.";"Северный ландшафт, влажная тундра";"Бесплатная";"881464777";
